x1,y1,sigma1,x2,y2,sigma2
1406.18994141,63.0536003113,2.05502009392,1406.18994141,63.0536003113,2.05502009392
1500.63000488,63.2336997986,19.6516990662,1500.63000488,63.2336997986,19.6516990662
268.342987061,64.1006011963,2.6672000885,268.342987061,64.1006011963,2.6672000885
286.190002441,63.9434013367,4.11088991165,286.190002441,63.9434013367,4.11088991165
1287.52001953,63.7230987549,9.98577976227,1287.52001953,63.7230987549,9.98577976227
1465.88000488,63.8367996216,2.52303004265,1465.88000488,63.8367996216,2.52303004265
223.619995117,64.7677001953,2.51162004471,223.619995117,64.7677001953,2.51162004471
1345.5300293,64.5698013306,2.53350996971,1345.5300293,64.5698013306,2.53350996971
1396.48999023,64.1453018188,3.8689699173,1396.48999023,64.1453018188,3.8689699173
1661.36999512,64.6186981201,21.3463001251,1661.36999512,64.6186981201,21.3463001251
1354.02001953,65.8839035034,2.76328992844,1354.02001953,65.8839035034,2.76328992844
1415.7199707,64.8453979492,2.74338006973,1415.7199707,64.8453979492,2.74338006973
1293.68994141,67.0485992432,5.13115978241,1293.68994141,67.0485992432,5.13115978241
1383.0,67.3887023926,1.87363004684,1383.0,67.3887023926,1.87363004684
1600.0,67.110496521,5.09757995605,1600.0,67.110496521,5.09757995605
311.82699585,71.0399017334,2.10282993317,311.82699585,71.0399017334,2.10282993317
715.692016602,67.8188018799,5.13778018951,715.692016602,67.8188018799,5.13778018951
740.083984375,68.4723968506,2.75423002243,740.083984375,68.4723968506,2.75423002243
871.767028809,67.860496521,41.5089988708,871.767028809,67.860496521,41.5089988708
1409.18994141,65.5692977905,2.0445599556,1409.18994141,65.5692977905,2.0445599556
1460.89001465,68.3229980469,2.07776999474,1460.89001465,68.3229980469,2.07776999474
1522.79003906,67.8490982056,5.57393980026,1522.79003906,67.8490982056,5.57393980026
300.782012939,70.3498001099,2.54327011108,300.782012939,70.3498001099,2.54327011108
360.691009521,69.2399978638,2.36407995224,360.691009521,69.2399978638,2.36407995224
773.892028809,69.0253982544,41.1783981323,773.892028809,69.0253982544,41.1783981323
1028.18994141,68.5043029785,42.1882019043,1028.18994141,68.5043029785,42.1882019043
1337.93005371,68.9247970581,9.42457008362,1337.93005371,68.9247970581,9.42457008362
1359.9699707,68.4895019531,2.14065003395,1359.9699707,68.4895019531,2.14065003395
1440.98999023,68.3535995483,2.06691002846,1440.98999023,68.3535995483,2.06691002846
277.604003906,69.6119995117,2.62564992905,277.604003906,69.6119995117,2.62564992905
316.485992432,69.6784973145,2.41965007782,316.485992432,69.6784973145,2.41965007782
335.54800415,70.545501709,2.04693007469,335.54800415,70.545501709,2.04693007469
359.411987305,70.6564025879,2.6497399807,359.411987305,70.6564025879,2.6497399807
469.316009521,69.515296936,3.13567996025,469.316009521,69.515296936,3.13567996025
1356.30004883,71.0801010132,4.11477994919,1356.30004883,71.0801010132,4.11477994919
1370.85998535,72.5701980591,5.10569000244,1370.85998535,72.5701980591,5.10569000244
1609.33996582,70.4195022583,2.72866010666,1609.33996582,70.4195022583,2.72866010666
281.832000732,72.2767028809,2.66845011711,281.832000732,72.2767028809,2.66845011711
