x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
1072.66,607.859,5.76768e+06,265.007,1,1,0,1116,622.771,2.49114e+06,259.798,1,1,0
1527.88,57.7946,1.57338e+06,287.838,1,2.61757,159.639,1538.63,69.2263,1.48116e+07,286.841,1,5.18168,170.438
361.224,1488.37,1.18628e+07,83.7973,1,5.18168,56.8128,392.901,1501.24,5.76794e+06,85.3374,1,2.61757,68.4167
927.757,491.418,9.83092e+06,227.928,1,2.61757,114.028,1351.53,464.924,8.3241e+06,257.997,1,2.61757,114.028
569.424,785.818,1.33046e+07,349.113,1,5.18168,136.351,611.752,800.27,7.01286e+06,350.062,1,5.18168,136.351
392.296,1491.61,1.11416e+07,96.4986,1,5.18168,147.713,437.993,1507.85,1.15346e+07,103.292,1,5.18168,147.713
991.471,490.938,4.12928e+06,192.391,1,5.18168,159.076,1035.68,509.519,2.75328e+06,198.127,1,5.18168,159.076
1083.64,490.877,3.99821e+06,281.599,1,2.61757,159.639,1138.68,504.546,2.81856e+06,77.0952,1,2.61757,22.8056
195.25,547.198,5.96454e+06,72.8727,1,2.61757,0,533.209,1513.81,1.09455e+07,77.6236,1,2.61757,114.028
235.785,899.129,1.77024e+06,264.885,1,5.18168,136.351,1984.35,1150.22,1.35667e+07,252.398,1,2.61757,68.4167
225.372,491.766,9.50323e+06,255.349,1,1,0,328.276,975.426,7.60294e+06,178.548,1,1,0
1562.57,65.4075,1.16657e+07,110.618,1,2.61757,136.833,1600.04,81.1412,6.88179e+06,109.748,1,2.61757,136.833
1596.04,64.028,1.37628e+07,71.4783,1,5.18168,45.4502,1025.89,464.348,1.57338e+06,256.977,1,5.18168,79.5379
197.949,346.831,1.03557e+07,261.853,1,5.18168,68.1753,252.897,363.876,3.01491e+06,265.606,1,2.61757,45.6111
997.654,607.394,1.10761e+07,267.693,1,5.18168,11.3626,1312.69,1745.36,4.32589e+06,272.236,1,2.61757,0
361.721,1040.63,1.23868e+07,139.576,1,1,0,1151.49,619.525,1.43529e+07,246.188,1,2.61757,114.028
986.533,492.156,8.25805e+06,311.661,1,2.61757,0,1031.16,512.008,3.1465e+06,314.509,1,2.61757,0
515.372,899.624,7.53741e+06,64.034,1,2.61757,0,190.341,1634.22,1.27803e+07,290.526,1,1,0
1416.96,491.328,1.32385e+07,190.542,1,5.18168,90.9004,1459,505.736,5.63635e+06,190.415,1,5.18168,90.9004
1572.35,65.8371,9.37216e+06,349.476,1,2.61757,114.028,117.591,1094.55,1.31075e+07,325.293,1,5.18168,136.351
348.67,685.573,4.12954e+06,265.313,1,5.18168,124.988,523.743,1546.14,1.42221e+07,264.551,1,2.61757,68.4167
645.893,66.5321,1.07482e+07,223.658,1,2.61757,136.833,670.932,91.1212,1.278e+07,328.905,1,1,0
1568.35,66.696,1.35665e+07,106.324,1,5.18168,124.988,1600.04,81.1412,6.88179e+06,109.748,1,2.61757,136.833
1582.66,66.5542,1.09448e+07,61.566,1,5.18168,79.5379,1624.41,83.9771,9.76512e+06,70.8249,1,5.18168,79.5379
923.954,442.042,4.78438e+06,280.502,1,2.61757,136.833,968.065,456.771,5.43974e+06,281.859,1,2.61757,136.833
955.569,788.282,6.35776e+06,257.031,1,2.61757,91.2222,1312.04,1736.33,1.5081e+06,57.6398,1,2.61757,68.4167
389.59,1494.93,7.60269e+06,101.843,1,2.61757,159.639,433.778,1509.29,1.46148e+07,103.014,1,2.61757,159.639
996.468,442.483,5.30944e+06,100.351,1,2.61757,0,332.125,379.377,8.97894e+06,317.14,1,2.61757,136.833
1145.83,492.73,8.19251e+06,259.665,1,5.18168,170.438,1167.11,499.58,918017,69.2231,1,2.61757,22.8056
1172.41,1041.73,1.03552e+07,261.969,1,5.18168,11.3626,1226.45,1074.39,1.07484e+07,260.412,1,5.18168,11.3626
1381.92,492.653,2.55693e+06,264.979,1,1,0,334.492,499.613,2.68749e+06,120.573,1,5.18168,170.438
891.587,685.743,8.4544e+06,277.165,1,5.18168,170.438,1564.18,63.3087,6.94758e+06,77.02,1,5.18168,68.1753
